method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
block_hard_task_refit,majority9,1,full_soft_vs_discrete,3,4,0.4733753204345703,0.6073747277259827,0.22690148651599884,0.3370361328125,0.0,0.6484375
block_hard_task_refit,majority9,1,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.1875,0.1875
block_hard_task_refit,majority9,1,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.3359375,0.3359375
block_hard_task_refit,majority9,1,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.5,0.5
block_hard_task_refit,majority9,1,path_soft_vs_discrete,3,4,0.4190782308578491,0.8057110905647278,0.1838287115097046,0.11651611328125,0.234375,0.6484375
dlgn,random_sparse10,1,full_soft_vs_discrete,0,1,0.3352428078651428,0.7084184288978577,0.13114145398139954,0.1142578125,0.0,0.140625
dlgn,random_sparse10,1,full_soft_vs_discrete,1,2,0.4429722726345062,0.6782960891723633,0.20408505201339722,0.264129638671875,0.0,0.1484375
dlgn,random_sparse10,1,full_soft_vs_discrete,2,3,0.45687440037727356,0.6246297359466553,0.21306324005126953,0.259674072265625,0.0,0.3359375
dlgn,random_sparse10,1,full_soft_vs_discrete,3,4,0.4749414026737213,0.6668651103973389,0.2308116853237152,0.3768310546875,0.0,0.2890625
dlgn_anneal,random_sparse10,1,full_soft_vs_discrete,0,1,0.07784342765808105,0.5636559128761292,0.023043377324938774,0.012664794921875,0.0,0.0859375
dlgn_anneal,random_sparse10,1,full_soft_vs_discrete,1,2,0.15781269967556,0.682411789894104,0.053598497062921524,0.0335693359375,0.0,0.0859375
dlgn_anneal,random_sparse10,1,full_soft_vs_discrete,2,3,0.20087134838104248,0.7344434261322021,0.07148842513561249,0.0682373046875,0.0,0.2265625
